order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,region,product_id,category,product_name,sales,quantity,discount,profit,month,year,profit_margin,shipping_days,sub_category,postal_code,order_priority
1,4/15/2016,9/7/2017,Same Day Shipping,1,Mayor Ledwich,Consumer,South Africa,Kraaifontein,,West,1,Technology,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,411.4,17,0.1,432.34,8,2017,0.39,1,Phones,7571,High
2,3/20/2015,4/8/2016,Same Day Shipping,2,Garner Stearley,Corporate,Poland,ChwaÅowice,,East,2,Technology,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,891.34,40,0.49,66.51,9,2016,0.12,3,Phones,27-630,Low
3,2/12/2018,9/28/2016,Express Shipping,3,Sloan Grantham,Consumer,Bolivia,Las Carreras,,East,3,Office Supplies,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,240.41,33,0.09,255.97,10,2015,0.34,9,Phones,,Low
4,11/8/2018,10/23/2019,Same Day Shipping,4,Daisie Ingarfill,Home Office,United States,Hartford,Connecticut,East,4,Furniture,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,928.75,14,0.17,36.04,1,2015,0.28,7,Binders,06105,Low
5,9/7/2018,12/12/2020,Same Day Shipping,5,Adah Almon,Consumer,Sweden,Eskilstuna,SÃ¶dermanland,North,5,Furniture,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,893.59,16,0.38,81.8,6,2018,0.48,5,Binders,631 85,High
6,12/20/2017,10/6/2020,Standard Shipping,6,Courtnay Jovasevic,Corporate,Uruguay,BelÃ©n,,North,6,Furniture,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,855.55,41,0.34,163.32,8,2019,0.11,4,Chairs,,Low
7,9/28/2017,11/9/2016,Express Shipping,7,Alessandro Bennit,Corporate,Poland,KieÅczÃ³w,,West,7,Furniture,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,108.46,17,0.09,428.62,12,2020,0.34,2,Binders,55-093,Medium
8,6/10/2015,12/26/2020,Express Shipping,8,Dori Bricknall,Consumer,Indonesia,Babakanlapang,,North,8,Office Supplies,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,887.73,41,0.37,127.69,1,2015,0.48,2,Binders,,Low
9,4/23/2015,11/25/2016,Express Shipping,9,Rubina Ruffell,Home Office,China,Baoshan,,North,9,Furniture,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,257.53,9,0.38,480.54,6,2020,0.36,7,Chairs,,High
10,9/24/2017,4/16/2016,Same Day Shipping,10,Harlen Penrose,Home Office,Philippines,Bicos,,West,10,Technology,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,706.47,47,0.27,310.49,9,2016,0.43,6,Binders,3126,Low
11,8/30/2016,8/17/2020,Same Day Shipping,11,Harv Amey,Corporate,Kenya,Machakos,,West,11,Furniture,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,698.08,94,0.05,244.98,11,2016,0.3,1,Phones,,High
12,11/4/2015,10/27/2019,Standard Shipping,12,Candida Bowdidge,Corporate,Thailand,Sapphaya,,North,12,Technology,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,626.85,46,0.45,327.44,9,2019,0.09,5,Phones,17140,Low
13,10/6/2017,2/12/2020,Standard Shipping,13,Berton Eyckel,Corporate,Georgia,Dioknisi,,West,13,Technology,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,676.49,45,0.38,14.6,11,2017,0.23,4,Chairs,,Low
14,10/4/2020,11/25/2018,Standard Shipping,14,Emmey Davsley,Corporate,Indonesia,Kopral,,South,14,Furniture,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,163.85,92,0.01,191.92,5,2018,0.06,1,Binders,,High
15,8/8/2016,11/15/2016,Same Day Shipping,15,Jesselyn Cumberledge,Corporate,China,Tianchang,,West,15,Furniture,neque libero convallis eget eleifend luctus ultricies eu nibh quisque,662.95,84,0.03,444.05,4,2016,0.11,6,Phones,,Low
16,12/4/2015,2/25/2020,Express Shipping,16,Hortensia Denyukin,Corporate,Colombia,ItagÃ¼Ã­,,North,16,Furniture,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,895.83,17,0.32,448.77,1,2019,0.12,4,Binders,055457,High
17,3/7/2018,9/19/2018,Express Shipping,17,Herby Nickless,Consumer,Germany,MÃ¼nchen,Bayern,West,17,Technology,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,921.73,5,0.05,77.95,7,2019,0.32,6,Phones,81679,Low
18,3/1/2018,8/5/2015,Same Day Shipping,18,Dannie Gairdner,Consumer,Philippines,Taloy,,West,18,Furniture,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,57.03,2,0.48,266.27,3,2016,0.08,5,Phones,2422,High
19,1/14/2016,10/1/2018,Express Shipping,19,Elton Edens,Corporate,France,Caen,Basse-Normandie,North,19,Office Supplies,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,270.24,99,0.49,446.23,9,2016,0.11,9,Phones,14922 CEDEX 9,High
20,12/17/2020,3/1/2016,Standard Shipping,20,Darcie Hazael,Consumer,France,Cherbourg-Octeville,Basse-Normandie,North,20,Technology,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,198.22,37,0.4,93.72,11,2020,0.06,1,Chairs,50109 CEDEX,High
21,4/15/2017,9/30/2018,Standard Shipping,21,Zelig McKibbin,Consumer,Sweden,Trelleborg,SkÃ¥ne,North,21,Office Supplies,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,456.43,2,0.35,400.15,9,2019,0.44,7,Binders,231 23,Medium
22,9/12/2019,12/21/2020,Standard Shipping,22,Othelia Mattusov,Home Office,Sweden,Ãrebro,Ãrebro,South,22,Technology,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,535.12,23,0.14,398.81,4,2015,0.33,8,Chairs,701 48,Low
23,7/10/2018,10/31/2015,Standard Shipping,23,Tabina Tapner,Consumer,Sweden,PiteÃ¥,Norrbotten,South,23,Office Supplies,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,637.48,37,0.22,367.43,7,2016,0.36,6,Phones,941 28,High
24,7/29/2016,8/24/2015,Same Day Shipping,24,Lavina Bannell,Corporate,Ukraine,Brylivka,,East,24,Technology,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,609.04,17,0.32,413.37,3,2018,0.5,5,Binders,,Medium
25,10/3/2015,5/28/2017,Same Day Shipping,25,Mercedes Dennick,Corporate,Indonesia,Sarkanjut,,East,25,Technology,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,987.25,91,0.33,201.69,1,2018,0.48,10,Phones,,High
26,11/23/2016,11/9/2017,Same Day Shipping,26,Cecily Fumagall,Consumer,China,Changxing,,North,26,Technology,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,215.62,39,0.27,351.63,5,2015,0.4,9,Binders,,Low
27,12/2/2016,8/14/2019,Standard Shipping,27,Tabbi Mushawe,Home Office,China,Gaojia,,North,27,Technology,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,715.83,1,0.35,322.33,4,2016,0.35,1,Binders,,High
28,10/15/2015,3/27/2017,Standard Shipping,28,Julissa Lardiner,Consumer,China,Zhangjiawo,,East,28,Office Supplies,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,704.86,33,0.5,444.25,10,2017,0.38,2,Chairs,,Medium
29,3/28/2020,5/8/2020,Express Shipping,29,Leslie Conor,Consumer,Brazil,ItapagÃ©,,South,29,Office Supplies,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,823.06,3,0.19,420.39,6,2018,0.48,3,Binders,62600-000,Medium
30,7/7/2020,1/9/2018,Standard Shipping,30,Marilee Fiddymont,Consumer,Indonesia,Tenggun Dajah,,South,30,Furniture,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,61.81,78,0.07,247.05,6,2020,0.24,2,Phones,,Medium
31,1/29/2019,5/1/2015,Express Shipping,31,Payton Smerdon,Corporate,Russia,Radovitskiy,,West,31,Furniture,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,956.35,2,0.21,196.46,1,2016,0.05,10,Binders,140753,Medium
32,8/2/2017,2/28/2017,Same Day Shipping,32,Clerc Tredget,Home Office,Indonesia,Pamakayo,,West,32,Technology,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,273.04,34,0.16,345.89,9,2015,0.23,10,Chairs,,Low
33,10/8/2019,11/13/2015,Express Shipping,33,Frasquito Fitzpayn,Home Office,China,Jiangkou,,West,33,Furniture,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,695.21,60,0.32,71.07,1,2020,0.2,6,Binders,,Low
